"pitcher","total_pitches"
112526,7367
276351,1914
276520,1159
276542,1697
279571,2204
282332,9880
285064,1390
285079,5666
407793,5925
407822,4242
407845,4348
407890,1792
408061,1361
408241,2026
424144,2835
425492,2884
425794,13358
425844,16557
429719,5500
429722,7972
430580,1120
430599,2188
430641,2177
430661,2256
430912,3651
430935,11183
431148,2599
432934,2214
433586,2485
433587,7616
433589,6270
434378,15568
434442,1076
434538,8010
434622,5084
434628,7725
434671,10586
434672,1409
435043,2627
435221,3384
435400,1114
444468,4364
444857,3225
445060,6218
445197,2239
445213,4731
445276,6524
445926,7146
446099,2605
446321,3266
446372,12031
446399,2180
446899,2816
448178,1187
448179,11052
448281,4249
448306,8455
448609,2465
448614,2828
448802,6433
448855,8491
450172,5153
450203,13347
450212,2325
450306,7192
450308,3506
450729,5685
451584,4790
451596,6066
451661,2136
452027,1414
452657,16687
452666,1261
453172,4506
453178,10335
453192,4994
453214,3835
453265,5057
453268,1621
453281,7577
453284,4596
453286,18099
453329,4827
453343,4830
453344,1508
453385,7246
453562,13875
453646,1193
455009,1298
455119,2711
455374,1450
456027,1138
456034,11169
456068,4889
456167,3385
456501,10032
456696,3860
456701,6791
456713,2424
457429,1335
457915,2593
457918,15092
458006,3576
458584,1426
458676,1321
458677,4814
458681,13786
458690,1101
458708,8772
459429,4582
460059,4345
460283,2979
461325,5093
461829,11913
461833,2376
461872,3376
462136,9288
462382,3045
465657,5498
467008,3650
467100,10805
468504,11648
471822,1308
471911,11773
472551,2023
472610,3818
473879,3767
474463,7231
474699,2538
475054,2570
475115,4156
475243,2832
475479,3655
476451,7598
476454,3922
476589,3742
476594,1259
476595,1241
477003,2011
477132,14182
477569,2974
488748,4112
488768,10166
488786,1724
488846,2045
488984,2904
489119,13215
489265,5020
489334,5466
489446,3934
490063,3627
491624,1448
491646,2236
491703,1854
491708,1102
493157,1469
493200,3930
493247,2086
493603,5653
500610,2558
500724,3780
500779,13862
500872,1088
501381,9010
501593,2924
501625,4797
501697,2074
501789,4261
501817,2429
501822,2427
501925,3451
501957,5325
501985,10754
501992,2519
502004,2291
502009,1446
502026,4642
502028,2789
502032,4078
502042,11745
502043,15139
502046,2670
502083,2736
502085,3931
502154,4092
502171,8287
502179,2283
502188,10619
502190,11211
502202,3957
502211,1226
502212,1949
502239,7385
502327,7577
502381,2201
502522,2226
502593,1680
502624,11391
502706,10237
502748,5907
503285,2499
503444,1008
503449,6082
503569,1033
504379,5035
506433,12572
516969,3726
517008,5406
517414,2607
517593,4372
518397,3124
518445,1310
518452,6747
518468,1051
518489,2302
518516,13758
518553,5702
518560,1196
518566,1523
518567,1014
518617,4910
518633,11882
518693,2165
518715,3702
518716,2848
518748,2364
518774,9213
518813,3762
518858,2603
518875,2959
518876,5860
518886,5233
519008,4069
519043,9443
519076,6667
519085,1218
519096,3304
519141,10316
519144,14213
519151,5838
519166,2314
519240,1599
519242,13239
519263,1313
519293,4127
519294,1480
519301,1939
519322,1780
519326,4351
519393,1766
519443,3463
519455,8483
520980,5247
521230,5734
521655,2841
523260,5220
527048,13291
527054,12580
527055,2327
532077,4029
533167,6202
534737,1158
534812,1727
534910,2408
534947,3195
541640,4737
541652,1505
542432,1757
542585,2232
542881,10130
542882,7328
542888,2889
542914,2463
542947,3394
542953,1486
542960,5520
543001,1111
543022,9166
543037,17112
543045,6128
543054,1580
543056,2609
543101,9616
543118,3338
543135,9456
543144,1675
543169,2607
543184,2139
543208,4704
543219,1011
543243,13123
543272,6300
543278,3125
543294,15662
543331,1277
543339,5567
543359,3271
543408,4371
543424,1466
543475,10031
543483,2153
543506,2923
543507,4016
543521,7912
543542,1645
543548,5195
543557,7560
543606,14135
543699,13638
543726,1132
543734,3515
543766,6365
543779,1731
543859,1684
543883,3977
543901,2147
543935,3224
544150,1923
544727,5416
544836,2045
544928,2103
544931,11865
545064,1371
545332,1619
545333,16333
545363,1249
547179,5874
547749,2301
547874,3452
547888,12447
547942,2473
547943,10403
547973,5574
548337,1727
548357,1448
548384,1436
548389,8882
552640,2837
553878,4622
554340,2939
554430,11887
554431,1928
570240,4242
570257,1659
570488,1486
570632,10558
570649,3048
570663,6038
570666,5181
571476,2181
571510,12376
571521,1465
571561,2304
571578,16303
571656,4884
571666,12090
571670,3776
571704,3887
571710,6278
571735,1619
571760,8361
571787,1075
571800,1491
571863,1903
571871,2132
571882,3229
571893,1009
571901,3303
571927,11908
571945,6766
571946,3590
571948,1402
571951,2217
572020,10115
572021,2069
572070,5684
572096,2614
572125,1042
572140,5822
572143,2687
572193,4338
572362,3218
572403,2735
572703,1110
572750,2839
572888,5097
572955,2268
572971,14550
573046,2022
573064,1743
573109,2709
573124,4984
573185,9248
573186,13912
573204,1490
573589,1140
573668,3036
579328,6078
580792,2582
582494,1021
584171,2752
591693,2647
592094,1446
592102,4363
592130,2088
592135,4188
592145,1836
592169,2718
592170,1933
592222,4935
592229,4446
592233,1518
592314,12343
592332,15262
592340,1773
592346,3376
592351,13035
592390,5338
592426,4788
592454,3307
592468,2331
592473,1963
592593,2049
592612,3152
